date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:30:58	104511/104511	---MCZ	200	added ('OK')	text/html	date:Sun,%2002%20Aug%202020%2010:45:57%20GMT	https://www.fmsdental.com/philosophy/	C:/My%20Web%20Sites/DentalHome/www.fmsdental.com/philosophy/index.html	(from https://www.fmsdental.com/)
16:30:59	67802/67802	---M--	200	added ('OK')	image/jpeg	etag:%22108da-59105af948337%22	https://www.fmsdental.com/wp-content/uploads/2019/08/Best-Dental-Implant-Clinic-FMS-DENTAL.jpg	C:/My%20Web%20Sites/DentalHome/www.fmsdental.com/wp-content/uploads/2019/08/Best-Dental-Implant-Clinic-FMS-DENTAL.jpg	(from https://www.fmsdental.com/)
16:31:01	156335/156335	---MCZ	200	added ('OK')	text/html	date:Sun,%2002%20Aug%202020%2010:46:00%20GMT	https://www.fmsdental.com/technology-at-fms/	C:/My%20Web%20Sites/DentalHome/www.fmsdental.com/technology-at-fms/index.html	(from https://www.fmsdental.com/)
16:31:02	113474/113474	---MCZ	200	added ('OK')	text/html	date:Sun,%2002%20Aug%202020%2010:46:00%20GMT	https://www.fmsdental.com/social-concern/	C:/My%20Web%20Sites/DentalHome/www.fmsdental.com/social-concern/index.html	(from https://www.fmsdental.com/)
16:31:02	120538/120538	---MCZ	200	added ('OK')	text/html	date:Sun,%2002%20Aug%202020%2010:46:00%20GMT	https://www.fmsdental.com/dental-laboratory-technician-course/	C:/My%20Web%20Sites/DentalHome/www.fmsdental.com/dental-laboratory-technician-course/index.html	(from https://www.fmsdental.com/)
16:31:03	132305/132305	---MCZ	200	added ('OK')	text/html	date:Sun,%2002%20Aug%202020%2010:46:01%20GMT	https://www.fmsdental.com/the-fms-dental-lab/	C:/My%20Web%20Sites/DentalHome/www.fmsdental.com/the-fms-dental-lab/index.html	(from https://www.fmsdental.com/)
16:31:04	99383/99383	---M--	200	added ('OK')	image/jpeg	etag:%2218437-59106dd5760fe%22	https://www.fmsdental.com/wp-content/uploads/2019/08/Easy-EMI-at-FMS-DENTAL.jpg	C:/My%20Web%20Sites/DentalHome/www.fmsdental.com/wp-content/uploads/2019/08/Easy-EMI-at-FMS-DENTAL.jpg	(from https://www.fmsdental.com/)
16:31:05	113880/113880	---MCZ	200	added ('OK')	text/html	date:Sun,%2002%20Aug%202020%2010:46:05%20GMT	https://www.fmsdental.com/dental-laboratory-technician-course-specialty/	C:/My%20Web%20Sites/DentalHome/www.fmsdental.com/dental-laboratory-technician-course-specialty/index.html	(from https://www.fmsdental.com/)
16:31:06	113439/113439	---MCZ	200	added ('OK')	text/html	date:Sun,%2002%20Aug%202020%2010:46:05%20GMT	https://www.fmsdental.com/learn-with-us-dental-laboratory/	C:/My%20Web%20Sites/DentalHome/www.fmsdental.com/learn-with-us-dental-laboratory/index.html	(from https://www.fmsdental.com/)
16:31:06	110711/110711	---MCZ	200	added ('OK')	text/html	date:Sun,%2002%20Aug%202020%2010:46:06%20GMT	https://www.fmsdental.com/career-opportunities-dental-laboratory-technician-hyderabad-india/	C:/My%20Web%20Sites/DentalHome/www.fmsdental.com/career-opportunities-dental-laboratory-technician-hyderabad-india/index.html	(from https://www.fmsdental.com/)
